Te dije que siempre estaría contigo.,Up
"Por favor, quédate conmigo para siempre.",Dumbo
Prefiero morir mañana que vivir cien años sin haberte conocido.,Pocahontas
Amor es poner las necesidades de alguien más antes que las tuyas.,Frozen
"Cuando amas a alguien, permanece dentro de tu corazón para siempre.",Hermano Oso
Hay personas por las que vale la pena derretirse.,Frozen
"Si tú vas a vivir cien años, yo quiero vivir cien años menos un día, porque no quiero pasar un día sin ti.",Winnie the Pooh
"Gracias por esta aventura, ¡ahora te toca a ti vivir una nueva!",Up
"Si alguna vez llega un día en el que no podamos estar juntos, guárdame en tu corazón. Estaré ahí para siempre.",Winnie The Pooh
"La gente te amará por lo que eres, y otros te odiarán por la misma razón. Acostúmbrate a eso.",El Rey León
"La vida me regalo un instante a tu lado, mi corazón decidió que ese instante fuera eterno.",Enredados
"Cuando estoy contigo, no me siento tan solo.",Hércules
"Hijo del corazón, deja ya de llorar… junto a ti yo voy a estar y nunca ya te han de hacer mal.",Dumbo
Por amor siempre se hacen grandes locuras.,Hércules
"Hakuna matata, vive y deja vivir.",El Rey León
Qué horror ser pobre y con gustos caros.,Cenicienta
Seguro que esta agua es higiénica? Se ve turbia y sospechosa. ¡Está llena de bacterias!,Tarzán
"Seremos cobardes, pero cobardes rápidos.",Timón y Pumba
"Soy una damisela, estoy en peligro y puedo manejar esto. Ten un buen día.",Hércules
"Yo no estoy loco, mi realidad es diferente a la tuya.",Alicia en el País de las Maravillas
¡Hasta el infinito y más allá!,Toy Story
"Si hay una cosa que nadie ha podido comprar con dinero, ésa es el movimiento de la cola de un perro.",La Dama y el Vagabundo
"Salacadula, chachicomula, ¡bibidy babidy bu!",Cenicienta
"Soy un cerdo decente, ¡NO UN PUERCO!",El Rey León
Supercalifragilisticoespiralidoso.,Mary Poppins
"Una dama no empieza peleas, pero puede terminarlas.",Los Aristogatos
"¡Eh, bombón! ¿Quieres polinizar con un bicho de verdad?",Bichos
"Querida, es mejor abajo, donde está más húmedo.",La Sirenita
"Mira las estrellas. Los grandes reyes del pasado nos miran desde las estrellas así que, cuando te sientas solo, recuerda que esos reyes siempre estarán ahí para guiarte… Y yo también.",El Rey León
"A un héroe verdadero no se le mide por el tamaño de sus músculos, sino por la fuerza de su corazón.",Hércules
"Si no puedes decir algo lindo, mejor no digas nada.",Bambi
"Cada trabajo que se debe terminar, hay un elemento de diversión. Encuéntralo y ¡listo! el trabajo es un juego.",Mary Poppins
Todo lo que ves coexiste en un delicado equilibrio.,El Rey León
"Los hombres siempre han aprendido del pasado. Después de todo, ¡puedes aprender la historia al revés!",La espada en la piedra
"Los niños no son perritos, son gente, y tarde o temprano, Nana, las gentes tienen que crecer.",Peter Pan
"Todo tiene una moraleja, solo falta saber encontrarla.",Alicia en el País de las Maravillas
"Si al hablar no has de agradar, te será mejor callar.",Bambi
Incluso los milagros tardan un poco de tiempo.,Cenicienta
Todos estamos conectados en el gran ciclo de la vida.,El Rey León
"Tú crees que, en otros lagos, las algas más verdes son.",La Sirenita
Un solo granito de arroz puede inclinar la balanza. Un solo hombre puede ser la diferencia entre una victoria y una derrota.,Mulán
"La vida no es un deporte de mirones. Si pasas el tiempo observando, verás tu vida pasar y tú te quedas atrás.",El Jorobado de Notre Dame
Como dicen en mi colmena: ¡La mentira no es buena!,Aladdin
La flor que florece en la adversidad es la más rara y hermosa de todas.,Mulán
"Eres más valiente de lo que crees, más fuerte de lo que pareces y más inteligente de lo que piensas.",Winnie The Pooh
Siempre deja a tu conciencia ser tu guía.,Pinocho
Lo que es de novatos es rendirse. Yo he vuelto porque no me rindo contigo. Yo apuesto con tu destino.,Hércules
Nunca es muy tarde para ser joven.,Blancanieves y los siete enanitos
"Lo que hoy te duele, mañana será un recuerdo.",Cenicienta
Mantén vivo tu sueño. Soñando es como sobreviven los fuertes.,Oliver y su Pandilla
"El pasado puede doler, pero, tal y como yo lo veo, puedes: o huir de él o aprender.",El Rey León
Algunas veces el camino correcto no es el más fácil.,Pocahontas
Debo dejar de pretender ser algo que no soy.,Aladdin
"El que nunca arriesga, se suele perder lo mejor.",Cenicienta
"Nunca digas adiós, porque decir adiós significa irse lejos, e irse lejos significa olvidar.",Peter Pan
No es posible que un mundo que hace tantas maravillas sea tan malo.,La Sirenita
"Ohana significa familia, y tu familia nunca te abandona ni te olvida.",Lilo y Stitch
"Ella le advirtió que no se engañara por las apariencias, porque la belleza se encuentra dentro.",La Bella y la Bestia
"Escapaste de tu casa, robaste la armadura de tu padre, suplantaste a un soldado, ¡destruiste mi palacio!; y.., nos has salvado a todos.",Mulán
"Comer para vivir, Robar para comer.",Aladdin
"No importa el dolor que tenga tu corazón, si sigues creyendo, el deseo que quieras se hará realidad.",La Cenicienta
Las mismas cosas que te detienen son las que van a levantarte.,Dumbo
"Busca lo más vital, no más, lo que es necesidad, no más, y olvídate de la preocupación.",El libro de la selva
Un sueño es un deseo que formula tu corazón.,Cenicienta
"Si sigues las pisadas de un extraño, verás cosas que jamás soñaste ver.",Pocahontas
Ten el valor de seguir tu corazón.,Pocahontas
Aférrate a aquello que te hace diferente.,Dumbo
Siempre se llega a alguna parte si se camina lo suficiente.,Alicia en el País de las Maravillas
"Por mucho que sople el viento, una montaña nunca se arrodillará a su paso.",Mulán
Las cosas no son siempre lo que parecen.,Aladdin
"A los niños nunca se les debería enviar a la cama, cuando despiertan son un día mayores.",Peter Pan
La mayoría de las personas tienen miedo a la muerte porque no han hecho nada de su vida.,Peter Pan
"La diferencia entre las promesas y los recuerdos es que solemos romper las promesas, pero los recuerdos nos rompen a nosotros.",Hércules
Vivir… esa será mi mejor aventura.,Peter Pan
"Estas loco. Pero te diré un secreto, las mejores personas lo están.",Alicia en el País de las Maravillas
La vida no tiene que ser perfecta para ser maravillosa.,Cenicienta
"No importa el dolor que tenga tu corazón, si sigues creyendo, el deseo que quieras se hará realidad.",Cenicienta
Todo lo que necesitas es fe y confianza.,Peter Pan
Reírte de ti mismo es amarte a ti mismo.,Mickey Mouse
"La sonrisa es mía, pero el motivo sois vosotros.",Toy Story
Lo único predecible de la vida es que es impredecible.,Ratatouille
"Los verdaderos amigos duran hasta el final… el resto, son etapas del pasado.",Toy Story 2
Elimina de tu vida a quien elimina tu sonrisa.,Brave
¡Hay que explorar lo inexplorado!,Up
"Tu pasado puede no haber sido muy feliz, pero eso no te convierte en quién eres, sino en lo que tu decidas ser.",Kung fu panda
Realmente no necesitas a alguien para que te complete. Sólo necesitas a alguien que te acepte completamente.,Enredados
Sólo tienes que creer en ti mismo.,Toy Story
"Si te centras en lo que dejaste atrás, nunca podrás ver lo que tienes por delante.",Ratatouille
No permitas que nadie defina tus límites. El único límite es tu alma.,Ratatouille
"Yo no quiero sobrevivir, quiero vivir.",Wall-E
"Yo nunca miro atrás, cariño. Me distrae del ahora.",Los Increíbles
"Si la vida te derrota, ¿qué hay que hacer? Nadaremos, nadaremos, en el mar, el mar, el mar.",Buscando a Nemo
"No puedo impedir que Andy se haga mayor, pero no me lo perdería por nada del mundo.",Toy Story 2
Nuestro destino vive en nosotros. Sólo debes ser lo suficientemente valiente para verlo.,Brave
"Nadie debe definir sus límites por venir de dónde vinieron, el único límite es su alma.",Ratatouille
"No puedes impedir que haga cosas, porque si no, no le pasaría nada.",Buscando a Nemo
"Cuando te miro, puedo sentirlo. Te miro, y ya estoy en casa.",Buscando a Nemo
"Consigue una buena idea, quédate con ella, llévala y trabájala hasta que la consigas y la consigas bien.",Ratatouille
"La mayoría de las personas entran y salen de tu vida, pero sólo los buenos amigos dejan huella en tu corazón.",Toy Story
Woody arriesgo su vida para salvarme. No podría llamarme su amigo si yo no estuviera dispuesto a hacer lo mismo.,Toy Story
Tu identidad es tu posesión más valiosa. Protégela.,Los Increíbles
El pasado ya pasó.,Frozen
Las personas siempre hacen cosas alocadas cuando están enamoradas.,Hércules
La vida me regaló un instante a tu lado y mi corazón decidió que ese instante fuera eterno.,Enredados
Preferiría morir mañana que vivir cien años sin haberte conocido.,Pocahontas
"Cuando estoy contigo, no me siento tan solo.",Hércules
"Por favor, quédate conmigo para siempre.",Dumbo
Confía en tu corazón y deja que el destino decida.,Tarzán
"No importa el dolor que sienta tu corazón, si sigues creyendo, el deseo que quieras se hará realidad.",Cenicienta
Déjame compartir este nuevo mundo contigo.,Aladdin
Escucha con tu corazón; solo así lo entenderás.,Pocahontas
Debo dejar de pretender ser algo que no soy.,Aladdin
Gracias por esta aventura... ahora te toca vivir a ti una nueva.,Up
Eres la mejor cosa que no sabía que necesitaba.,Tiana y el sapo
Amar es poner las necesidades del otro antes que las tuyas.,Frozen
"El que nunca arriesga, se suele perder lo mejor.",Cenicienta
El amor es una canción que nunca termina.,Bambi
Ahora lo veo tan claro... que te necesito aquí siempre.,Tiana y el sapo
El amor sin locura es una simple rutina.,Up
Significas más para mí que cualquier otra persona en el mundo entero.,Peter Pan
